instId,direction,realizedPnl,posId,uTime,opened_at,type,exit_price,entry_price,contracts,reason,signal_reason
ETH-USDT-SWAP,short,5.6506481089601275,pos3,1787309983139,1787299183139,2,3073.8100000000004,3133.4200961376705,1,止盈,"空信号: close 3133.4<EMA50 3235.7, 阴线实体68%, MACD dif<dea"
ETH-USDT-SWAP,short,-3.7872616326165796,pos8,1787318083139,1787316283139,2,3058.0800000000004,3023.2480476976834,1,止损,"空信号: close 3023.3<EMA50 3152.6, 阴线实体98%, MACD dif<dea"
BTC-USDT-SWAP,long,19.734355728686953,pos9,1787320783139,1787311783139,2,77829.09999999999,75778.86044690784,1,止盈,"多信号: close 75778.8>EMA50 72782.8, 阳线实体68%, MACD dif>dea"
BTC-USDT-SWAP,long,-15.216144407972724,pos12,1787333383139,1787320783139,2,76765.3,78209.42707725865,1,止损,"多信号: close 78209.3>EMA50 74082.1, 阳线实体82%, MACD dif>dea"
ETH-USDT-SWAP,short,-4.925361517952583,pos15,1787339683139,1787337883139,2,3010.4100000000003,2964.1436616513,1,止损,"空信号: close 2964.2<EMA50 3071.6, 阴线实体90%, MACD dif<dea"
ETH-USDT-SWAP,long,7.022537079128222,pos20,1787346883139,1787345083139,2,3139.18,3065.8521131521416,1,止盈,"多信号: close 3065.8>EMA50 3055.3, 阳线实体63%, MACD dif>dea"
BTC-USDT-SWAP,short,9.621662683771953,pos23,1787350483139,1787345983139,2,74650.1,75687.43503589515,1,止盈,"空信号: close 75687.5<EMA50 75907.2, 阴线实体83%, MACD dif<dea"
ETH-USDT-SWAP,long,-7.0550123119456405,pos24,1787355883139,1787349583139,2,3054.73,3122.1916622883123,1,止损,"多信号: close 3122.2>EMA50 3062.6, 阳线实体49%, MACD dif>dea"
BTC-USDT-SWAP,short,9.037508886974267,pos29,1787360383139,1787355883139,2,73949.70000000001,74927.88968353921,1,止盈,"空信号: close 74928.0<EMA50 75581.1, 阴线实体67%, MACD dif<dea"
ETH-USDT-SWAP,short,0.6686321051812754,pos32,1787361283139,1787359483139,2,3048.9700000000003,3058.710161132379,1,止损,"空信号: close 3058.7<EMA50 3074.2, 阴线实体53%, MACD dif<dea"
BTC-USDT-SWAP,short,8.632537386840102,pos35,1787367583139,1787360383139,2,73052.90000000001,73989.67502619712,1,止盈,"空信号: close 73989.8<EMA50 75364.7, 阴线实体73%, MACD dif<dea"
ETH-USDT-SWAP,short,9.447643321656244,pos36,1787368483139,1787363083139,2,2932.8100000000004,3030.267972202664,1,止盈,"空信号: close 3030.3<EMA50 3069.1, 阴线实体67%, MACD dif<dea"
BTC-USDT-SWAP,short,8.586929839209294,pos41,1787377483139,1787373883139,2,71631.3,72562.08967876031,1,止盈,"空信号: close 72562.2<EMA50 74448.5, 阴线实体54%, MACD dif<dea"
ETH-USDT-SWAP,short,1.5942175527229445,pos44,1787384683139,1787371183139,2,2897.1800000000003,2916.0287799171883,1,止损,"空信号: close 2916.0<EMA50 3036.9, 阴线实体59%, MACD dif<dea"
BTC-USDT-SWAP,short,9.618267101774356,pos45,1787386483139,1787380183139,2,69931.70000000001,70963.97454745117,1,止盈,"空信号: close 70964.1<EMA50 73750.1, 阴线实体82%, MACD dif<dea"
BTC-USDT-SWAP,short,8.83210383912617,pos48,1787392783139,1787386483139,2,68672.50000000001,69624.85906344435,1,止盈,"空信号: close 69625.0<EMA50 72929.9, 阴线实体62%, MACD dif<dea"
BTC-USDT-SWAP,short,7.195814055185367,pos51,1787399983139,1787394583139,2,67786.90000000001,68574.66218661185,1,止盈,"空信号: close 68574.8<EMA50 71763.0, 阴线实体50%, MACD dif<dea"
ETH-USDT-SWAP,long,6.517291815352866,pos54,1787408983139,1787404483139,2,3009.6499999999996,2941.5015060934243,1,止盈,"多信号: close 2941.5>EMA50 2931.7, 阳线实体94%, MACD dif>dea"
ETH-USDT-SWAP,long,2.758046893694176,pos57,1787423383139,1787409883139,2,3048.58,3017.966257934091,1,止损,"多信号: close 3018.0>EMA50 2944.6, 阳线实体50%, MACD dif>dea"
ETH-USDT-SWAP,long,0.4044590281250341,pos62,1787434183139,1787425183139,2,3094.77,3087.634207614942,1,止损,"多信号: close 3087.6>EMA50 2994.4, 阳线实体58%, MACD dif>dea"
BTC-USDT-SWAP,short,11.162476035373723,pos63,1787438683139,1787433283139,2,64999.1,66180.93762234855,1,止盈,"空信号: close 66181.0<EMA50 67983.1, 阴线实体50%, MACD dif<dea"
BTC-USDT-SWAP,short,-8.732345168920919,pos66,1787446783139,1787438683139,2,65785.90000000001,64978.047456836335,1,止损,"空信号: close 64978.1<EMA50 67438.9, 阴线实体53%, MACD dif<dea"
ETH-USDT-SWAP,long,0.6252901629609879,pos69,1787456683139,1787453083139,2,3183.18,3173.7486340533633,1,止损,"多信号: close 3173.7>EMA50 3084.4, 阳线实体45%, MACD dif>dea"
